timestamp,device_0,device_1
1671782407226241276,0,0
1671782407228736019,0,0
1671782407230575738,0,0
1671782407232449022,0,0
1671782407234293721,0,0
1671782407236092021,0,0
1671782407237888348,0,0
1671782407239712689,0,0
1671782407241500661,0,0
1671782407243339469,0,0
1671782407245151727,0,0
1671782407246967351,0,0
1671782407248767736,0,0
1671782407250613707,0,0
1671782407252432256,0,0
1671782407254242370,0,0
1671782407256046783,0,0
1671782407257853249,0,0
1671782407259661389,0,0
1671782407261465792,0,0
1671782407263314578,0,0
1671782407265120754,0,0
1671782407266935536,0,0
1671782407268742965,0,0
1671782407270631397,0,0
1671782407272779462,0,0
1671782407274604013,0,0
1671782407276392045,0,0
1671782407278201888,0,0
1671782407280019966,0,0
1671782407281823557,0,0
1671782407283680910,0,0
1671782407285499320,0,0
1671782407287299514,0,0
1671782407289108005,0,0
1671782407290905655,0,0
1671782407292816378,0,0
1671782407294662771,0,0
1671782407296472423,0,0
1671782407298277638,0,0
1671782407300079666,0,0
1671782407302383707,0,0
1671782407304546850,0,0
1671782407306462895,0,0
1671782407308261896,0,0
1671782407310062342,0,0
1671782407311862246,0,0
1671782407313679082,0,0
1671782407315483616,0,0
1671782407317287958,0,0
1671782407319099093,0,0
1671782407320906250,0,0
1671782407323120501,0,0
1671782407324957265,0,0
1671782407326793047,0,0
1671782407328603572,0,0
1671782407330412964,0,0
1671782407332205635,0,0
1671782407334014456,0,0
1671782407335821252,0,0
1671782407337636866,0,0
1671782407339626761,0,0
1671782407341490867,0,0
1671782407344186140,0,0
1671782407346031129,0,0
1671782407353035916,0,0
1671782407359858388,0,0
1671782407361679101,0,0
1671782407363538117,0,0
1671782407365383677,0,0
1671782407367188130,0,0
1671782407369008594,0,0
1671782407370923807,0,0
1671782407376378723,0,0
1671782407378224534,0,0
1671782407380034568,0,0
1671782407381830936,0,0
1671782407383631421,0,0
1671782407385427729,0,0
1671782407387220640,0,0
1671782407389018640,0,0
1671782407390824074,0,0
1671782407392747132,0,0
1671782407394572674,0,0
1671782407396382407,0,0
1671782407398193653,0,0
1671782407399998357,0,0
1671782407401857784,0,0
1671782407403677224,0,0
1671782407405483390,0,0
1671782407407290057,0,0
1671782407409097937,0,0
1671782407410908161,0,0
1671782407412716271,0,0
1671782407414726424,0,0
1671782407416538531,0,0
1671782407418355698,0,0
1671782407420362003,0,0
1671782407423131997,0,0
1671782407424948323,0,0
1671782407426742706,0,0
1671782407428536850,0,0
1671782407430337605,0,0
1671782407432147137,0,0
1671782407433966238,0,0
1671782407435998703,0,0
1671782407437859503,0,0
1671782407439737045,0,0
1671782407441520157,0,0
1671782407443358204,0,0
1671782407445158158,0,0
1671782407446951980,0,0
1671782407448758857,0,0
1671782407450598416,0,0
1671782407452400224,0,0
1671782407454234654,0,0
1671782407456041532,0,0
1671782407457842699,0,0
1671782407459645529,0,0
1671782407461449921,0,0
1671782407463260185,0,0
1671782407465035271,0,0
1671782407466845244,0,0
1671782407468651180,0,0
1671782407470696921,0,0
1671782407472697105,0,0
1671782407474550160,0,0
1671782407476344553,0,0
1671782407478195333,0,0
1671782407479994506,0,0
1671782407481797988,0,0
1671782407483942997,0,0
1671782407485815889,0,0
1671782407488117636,0,0
1671782407489946214,0,0
1671782407497139468,0,0
1671782407503751971,0,0
1671782407505572674,0,0
1671782407507391073,0,0
1671782407509209262,0,0
1671782407511026720,0,0
1671782407512814882,0,0
1671782407514688116,0,0
1671782407516471449,0,0
1671782407518261854,0,0
1671782407520247180,0,0
1671782407523003348,0,0
1671782407524887422,0,0
1671782407526713446,0,0
1671782407528511376,0,0
1671782407530303676,0,0
1671782407532105072,0,0
1671782407533898023,0,0
1671782407535687898,0,0
1671782407537477323,0,0
1671782407539535497,0,0
1671782407541353405,0,0
1671782407543471924,0,0
1671782407545349035,0,0
1671782407547145873,0,0
1671782407548941428,0,0
1671782407550958494,0,0
1671782407552763518,0,0
1671782407554598609,0,0
1671782407556413632,0,0
1671782407558232963,0,0
1671782407560049799,0,0
1671782407562236877,0,0
1671782407564082578,0,0
1671782407565877022,0,0
1671782407567669984,0,0
1671782407569768685,0,0
1671782407571564361,0,0
1671782407573411866,0,0
1671782407575233621,0,0
1671782407577032071,0,0
1671782407578843938,0,0
1671782407580651878,0,0
1671782407582466480,0,0
1671782407584304828,0,0
1671782407586154696,0,0
1671782407587968196,0,0
1671782407589766506,0,0
1671782407591616646,0,0
1671782407593465964,0,0
1671782407595291487,0,0
1671782407597096311,0,0
1671782407598900794,0,0
1671782407600731557,0,0
1671782407602545698,0,0
1671782407604363956,0,0
1671782407606199377,0,0
1671782407608002187,0,0
1671782407609805308,0,0
1671782407611611754,0,0
1671782407613497051,0,0
1671782407615359793,0,0
1671782407617200134,0,0
1671782407619044623,0,0
1671782407620921643,0,0
1671782407623066893,0,0
1671782407624879361,0,0
1671782407626751212,0,0
