timestamp,device_0,device_1
1671861055015967608,4,25
1671861055018262682,4,25
1671861055020011099,4,25
1671861055021742494,4,25
1671861055024086581,4,25
1671861055026365875,2,25
1671861055028328519,2,25
1671861055030106442,2,25
1671861055031853326,2,25
1671861055033608506,2,25
1671861055035395827,2,25
1671861055037153682,2,25
1671861055038926085,2,25
1671861055040671696,2,25
1671861055042482331,2,25
1671861055044637190,2,47
1671861055054858340,2,47
1671861055056616977,2,47
1671861055058349584,2,47
1671861055060092110,2,47
1671861055061833153,2,47
1671861055063948917,2,47
1671861055066687513,2,47
1671861055068817994,2,47
1671861055071072442,2,47
1671861055072825187,2,47
1671861055074556341,2,47
1671861055076332360,2,47
1671861055078753294,2,47
1671861055081037237,2,47
1671861055083802353,2,47
1671861055086297236,2,47
1671861055088526716,2,47
1671861055090655425,2,47
1671861055092493992,2,47
1671861055094233683,2,47
1671861055095956933,2,47
1671861055097687446,2,47
1671861055099403110,2,47
1671861055101121140,2,47
1671861055102916025,2,47
1671861055105098446,2,47
1671861055106956060,2,47
1671861055108686503,2,47
1671861055110417968,2,47
1671861055112144674,2,47
1671861055113864417,2,47
1671861055115588297,2,47
1671861055117350881,2,47
1671861055119080693,2,47
1671861055120808271,2,47
1671861055122537080,2,47
1671861055124877470,2,47
1671861055128058275,2,47
1671861055130166836,2,47
1671861055132120592,2,47
1671861055133919294,2,47
1671861055135676457,2,47
1671861055137540453,2,47
1671861055139398669,2,47
1671861055141176412,2,47
1671861055143485182,2,47
1671861055146284292,2,47
1671861055153155147,2,47
1671861055158260163,2,47
1671861055160019300,2,47
1671861055161771965,2,47
1671861055163955268,2,47
1671861055166132178,2,47
1671861055168028355,2,47
1671861055169764308,2,47
1671861055171519118,2,47
1671861055173262756,2,47
1671861055175010031,2,47
1671861055176747787,2,47
1671861055178594391,2,47
1671861055180330906,2,47
1671861055182068312,2,47
1671861055184180739,2,47
1671861055186362629,2,47
1671861055188329501,2,47
1671861055190106953,2,47
1671861055191843517,2,47
1671861055193570153,2,47
1671861055195306748,2,47
1671861055197036841,2,47
1671861055198775719,2,47
1671861055200508917,2,47
1671861055202246764,2,47
1671861055204497465,2,47
1671861055206765157,2,47
1671861055208676172,2,47
1671861055210419058,2,47
1671861055212157586,2,47
1671861055213884272,2,47
1671861055215615126,2,47
1671861055217404762,2,47
1671861055219737477,2,47
1671861055222123293,2,47
1671861055224664605,4,47
1671861055227772721,4,47
1671861055229499447,4,47
1671861055231219140,4,47
1671861055232944764,4,47
1671861055234688963,4,47
1671861055236412031,4,47
1671861055238178172,4,47
1671861055239912303,4,47
1671861055241746713,4,47
1671861055243872115,4,27
1671861055249464635,4,27
1671861055251817659,4,27
1671861055253759233,4,27
1671861055255547967,4,27
1671861055257344585,4,27
1671861055259085087,4,27
1671861055260828775,4,27
1671861055262602811,4,27
1671861055264700421,4,27
1671861055267140269,4,27
1671861055269409985,4,27
1671861055271527954,4,27
1671861055273461071,4,27
1671861055275243302,4,27
1671861055277039299,4,27
1671861055278820980,4,27
1671861055280571982,4,27
1671861055282369051,4,27
1671861055284568353,4,27
1671861055287025815,4,27
1671861055289106432,4,27
1671861055291078734,4,27
1671861055297887973,4,27
1671861055303093409,4,27
1671861055305287150,4,27
1671861055307192014,4,27
1671861055308943117,4,27
1671861055310713205,4,27
1671861055312452504,4,27
1671861055314260024,4,27
1671861055316016937,4,27
1671861055317779902,4,27
1671861055319532647,4,27
1671861055321292836,4,27
1671861055323267543,4,27
1671861055325422762,4,27
1671861055327352232,4,27
1671861055329104997,4,27
1671861055330851391,4,27
1671861055332602083,4,27
1671861055334340711,4,27
1671861055336101251,4,27
1671861055337903670,4,27
1671861055339641888,4,27
1671861055341554197,4,27
1671861055343716078,4,27
1671861055346056027,4,27
1671861055348835010,4,27
1671861055350941145,4,27
1671861055353031180,4,27
1671861055354890047,4,27
1671861055356627414,4,27
1671861055358360391,4,27
1671861055360129126,4,27
1671861055361850081,4,27
1671861055364029896,4,27
1671861055366583411,4,27
1671861055369014664,4,27
1671861055371186494,4,27
1671861055372941473,4,27
1671861055374659633,4,27
1671861055376496418,4,27
1671861055378339324,4,27
1671861055380249097,4,27
1671861055382046166,4,27
1671861055384256130,4,27
1671861055387078644,4,27
1671861055389310719,4,27
1671861055391436091,4,27
1671861055393240886,4,27
1671861055394971418,4,27
1671861055396690640,4,27
1671861055398473212,4,27
1671861055400202022,4,27
1671861055401931353,4,27
1671861055404058719,4,27
1671861055406192086,4,27
1671861055408056003,4,27
1671861055409818917,4,27
1671861055411568967,4,27
1671861055413355015,4,27
1671861055415080720,4,27
1671861055416817676,4,27
1671861055418579518,4,27
1671861055420308718,4,27
1671861055422318411,4,27
1671861055424940436,2,27
1671861055432530185,2,27
1671861055434421844,2,27
1671861055436535012,2,27
1671861055443677844,2,32
1671861055453020619,2,32
1671861055454878593,2,32
1671861055456642970,2,32
1671861055458442725,2,32
1671861055460196372,2,32
1671861055461924691,2,32
1671861055464180290,2,32
1671861055466372670,2,32
1671861055468290699,2,32
1671861055470043675,2,32
1671861055471861573,2,32
1671861055473599210,2,32
1671861055475406228,2,32
1671861055477244216,2,32
1671861055479019914,2,32
1671861055480756068,2,32
1671861055482510206,2,32
1671861055484633715,2,32
1671861055486806527,2,32
1671861055488659813,2,32
1671861055490407519,2,32
1671861055492161927,2,32
1671861055493893052,2,32
1671861055495638863,2,32
1671861055497379345,2,32
1671861055499111081,2,32
1671861055500852676,2,32
1671861055502591103,2,32
1671861055504778814,2,32
1671861055506903455,2,32
1671861055509063223,2,32
1671861055511175139,2,32
1671861055513271816,2,32
1671861055515116657,2,32
1671861055516862109,2,32
1671861055518613471,2,32
1671861055520423485,2,32
1671861055522263024,2,32
1671861055524356185,2,32
1671861055527857348,2,32
1671861055529979714,2,32
1671861055532208112,2,32
1671861055534057480,2,32
1671861055535787683,2,32
1671861055537577729,2,32
1671861055539314233,2,32
1671861055541039266,2,32
1671861055542830505,2,32
1671861055546004136,2,32
1671861055548507124,2,32
1671861055550635442,2,32
1671861055552730247,2,32
1671861055554587871,2,32
1671861055556321299,2,32
1671861055558058154,2,32
1671861055559791142,2,32
1671861055561537185,2,32
1671861055563726087,2,32
1671861055565870696,2,32
1671861055568197431,2,32
1671861055570511661,2,32
1671861055572406205,2,32
1671861055574205950,2,32
1671861055576579914,2,32
1671861055578397182,2,32
1671861055580164144,2,32
1671861055582158838,2,32
1671861055584521521,2,32
1671861055591401473,2,32
1671861055597023028,2,32
1671861055598799488,2,32
1671861055600559948,2,32
1671861055602341057,2,32
1671861055604606816,2,32
1671861055606910646,2,32
1671861055608754153,2,32
1671861055610523711,2,32
1671861055612266959,2,32
1671861055614008182,2,32
1671861055615771216,2,32
1671861055617714874,2,32
1671861055619457210,2,32
1671861055621246495,2,32
1671861055623810078,2,32
1671861055626061559,2,32
1671861055628036847,2,32
1671861055629781908,2,32
1671861055631511920,2,32
1671861055633253514,2,32
1671861055634985600,2,32
1671861055636716745,2,32
1671861055638463198,2,32
1671861055640198309,2,32
1671861055641919655,2,32
1671861055644054386,2,40
1671861055648588487,2,40
1671861055651077900,2,40
1671861055653673004,2,40
1671861055655410580,2,40
1671861055657363776,2,40
1671861055659244895,2,40
1671861055661066722,2,40
1671861055662894930,2,40
1671861055665043876,2,40
1671861055667144231,2,40
1671861055669534547,2,40
1671861055671633258,2,40
1671861055673480923,2,40
1671861055675235772,2,40
1671861055676971023,2,40
1671861055678721084,2,40
1671861055680448201,2,40
1671861055682181499,2,40
1671861055684336157,2,40
1671861055686453544,2,40
1671861055688297022,2,40
1671861055690018718,2,40
1671861055691739152,2,40
1671861055693467791,2,40
1671861055695229314,2,40
1671861055696948405,2,40
1671861055698683807,2,40
1671861055700429459,2,40
1671861055702168859,2,40
1671861055704275085,2,40
1671861055706479918,2,40
1671861055708764682,2,40
1671861055710942314,2,40
1671861055713037820,2,40
1671861055714896125,2,40
1671861055716668588,2,40
1671861055718887658,2,40
1671861055721002881,2,40
1671861055723644563,2,40
1671861055725989582,2,40
1671861055733913064,2,40
1671861055739087922,2,40
1671861055740822833,2,40
