timestamp,device_0,device_1,device_2,device_3
1628354223338681597,0,0,0,0
1628354223341648873,0,0,0,0
1628354223343415712,0,0,0,0
1628354223345188447,0,0,0,0
1628354223346933354,0,0,0,0
1628354223348715375,0,0,0,0
1628354223350561507,0,0,0,0
1628354223352430800,0,0,0,0
1628354223354226531,0,0,0,0
1628354223355986540,0,0,0,0
1628354223357753743,0,0,0,0
1628354223359528019,0,0,0,0
1628354223361283106,0,0,0,0
1628354223363024698,0,0,0,0
1628354223364807265,0,0,0,0
1628354223366589959,0,0,0,0
1628354223368397779,0,0,0,0
1628354223370197229,0,0,0,0
1628354223371947999,0,0,0,0
1628354223374035662,0,0,0,0
1628354223375826963,0,0,0,0
1628354223377579675,0,0,0,0
1628354223379326394,0,0,0,0
1628354223381276684,0,0,0,0
1628354223383020953,0,0,0,0
1628354223384874856,0,0,0,0
1628354223386808394,0,0,0,0
1628354223388612883,0,0,0,0
1628354223390388932,0,0,0,0
1628354223392164763,0,0,0,0
1628354223394227210,0,0,0,0
1628354223395998418,0,0,0,0
1628354223397863929,0,0,0,0
1628354223399991163,0,0,0,0
1628354223402166032,0,0,0,0
1628354223404216775,0,0,0,0
1628354223406314584,0,0,0,0
1628354223408379855,0,0,0,0
1628354223410489144,0,0,0,0
1628354223412588519,0,0,0,0
1628354223414645080,0,0,0,0
1628354223416692051,0,0,0,0
1628354223418714514,0,0,0,0
1628354223420765423,0,0,0,0
1628354223422792934,0,0,0,0
1628354223424865988,0,0,0,0
1628354223426922113,0,0,0,0
1628354223429033277,0,0,0,0
1628354223431149805,0,0,0,0
1628354223433229903,0,0,0,0
1628354223436123172,0,0,0,0
1628354223438176449,0,0,0,0
1628354223440176013,0,0,0,0
1628354223442238146,0,0,0,0
1628354223444280366,0,0,0,0
1628354223446339928,0,0,0,0
1628354223448457369,0,0,0,0
1628354223450535992,0,0,0,0
1628354223453394494,0,0,0,0
1628354223455397124,0,0,0,0
1628354223457454201,0,0,0,0
1628354223459455126,0,0,0,0
1628354223461493090,0,0,0,0
1628354223463538498,0,0,0,0
1628354223465605053,0,0,0,0
1628354223467665204,0,0,0,0
1628354223470681905,0,0,0,0
1628354223472828486,0,0,0,0
1628354223551575606,0,0,0,0
1628354223629756015,0,0,0,0
1628354223631531615,0,0,0,0
1628354223633328214,0,0,0,0
1628354223635063396,0,0,0,0
1628354223636802490,0,0,0,0
1628354223638569102,0,0,0,0
1628354223640408473,0,0,0,0
1628354223642196908,0,0,0,0
1628354223644044806,0,0,0,0
1628354223645839296,0,0,0,0
1628354223647576706,0,0,0,0
1628354223649381766,0,0,0,0
1628354223651211691,0,0,0,0
1628354223652983601,0,0,0,0
1628354223654768907,0,0,0,0
1628354223656571496,0,0,0,0
1628354223658333132,0,0,0,0
1628354223660100686,0,0,0,0
1628354223661904434,0,0,0,0
1628354223663673871,0,0,0,0
1628354223665525918,0,0,0,0
1628354223667269356,0,0,0,0
1628354223669023050,0,0,0,0
1628354223670796155,0,0,0,0
1628354223672550204,0,0,0,0
1628354223674356553,0,0,0,0
1628354223676142076,0,0,0,0
1628354223677919161,0,0,0,0
1628354223679805719,0,0,0,0
1628354223681547408,0,0,0,0
1628354223683293031,0,0,0,0
1628354223685196275,0,0,0,0
1628354223686967753,0,0,0,0
1628354223688735264,0,0,0,0
1628354223690513832,0,0,0,0
1628354223692302131,0,0,0,0
1628354223694096842,0,0,0,0
1628354223695871498,0,0,0,0
1628354223697746759,0,0,0,0
1628354223699525174,0,0,0,0
1628354223701274818,0,0,0,0
1628354223703047006,0,0,0,0
1628354223704841081,0,0,0,0
1628354223706671630,0,0,0,0
1628354223708478326,0,0,0,0
1628354223710300132,0,0,0,0
1628354223712239109,0,0,0,0
1628354223714080093,0,0,0,0
1628354223715850241,0,0,0,0
1628354223717782213,0,0,0,0
1628354223719636935,0,0,0,0
1628354223721454369,0,0,0,0
1628354223723243277,0,0,0,0
1628354223725023897,0,0,0,0
1628354223726895153,0,0,0,0
1628354223728718630,0,0,0,0
1628354223730599035,0,0,0,0
1628354223732448843,0,0,0,0
1628354223734354496,0,0,0,0
1628354223736099563,0,0,0,0
1628354223737894463,0,0,0,0
1628354223740081841,0,0,0,0
1628354223742011902,0,0,0,0
1628354223743855737,0,0,0,0
1628354223745760460,0,0,0,0
1628354223747611579,0,0,0,0
1628354223749529150,0,0,0,0
1628354223751343266,0,0,0,0
1628354223753129453,0,0,0,0
1628354223754898480,0,0,0,0
1628354223756790187,0,0,0,0
1628354223758796199,0,0,0,0
1628354223760729990,0,0,0,0
1628354223762591065,0,0,0,0
1628354223764484650,0,0,0,0
1628354223766872931,0,0,0,0
1628354223768940123,0,0,0,0
1628354223771044353,0,0,0,0
1628354223773092446,0,0,0,0
1628354223775140679,0,0,0,0
1628354223777177973,0,0,0,0
1628354223779221748,0,0,0,0
1628354223781204101,0,0,0,0
1628354223783214415,0,0,0,0
1628354223785225419,0,0,0,0
1628354223787264823,0,0,0,0
1628354223789315036,0,0,0,0
1628354223791397151,0,0,0,0
1628354223793500274,0,0,0,0
1628354223795543748,0,0,0,0
1628354223797572357,0,0,0,0
1628354223800444143,0,0,0,0
1628354223802471166,0,0,0,0
1628354223804514158,0,0,0,0
1628354223806604645,0,0,0,0
1628354223808672032,0,0,0,0
1628354223810700061,0,0,0,0
1628354223812712071,0,0,0,0
1628354223814806450,0,0,0,0
1628354223816853721,0,0,0,0
1628354223818892570,0,0,0,0
1628354223820922499,0,0,0,0
1628354223822961847,0,0,0,0
1628354223825000910,0,0,0,0
