timestamp,device_0,device_1
1671861131579257819,2,45
1671861131582166287,2,45
1671861131584125914,2,45
1671861131585864041,2,45
1671861131587610174,2,45
1671861131589361837,2,45
1671861131591107458,2,45
1671861131592839453,2,45
1671861131594813799,2,45
1671861131596826116,2,45
1671861131598770304,2,45
1671861131601816493,3,45
1671861131613243521,3,45
1671861131618160799,3,45
1671861131620284718,3,27
1671861131628737874,3,27
1671861131630694285,3,27
1671861131632420990,3,27
1671861131634155340,3,27
1671861131635878389,3,27
1671861131637600806,3,27
1671861131639698015,3,27
1671861131642170886,3,27
1671861131644360309,3,27
1671861131646569129,3,27
1671861131648794270,3,27
1671861131650885888,3,27
1671861131653533450,3,27
1671861131655377979,3,27
1671861131657105115,3,27
1671861131658834466,3,27
1671861131660974516,3,27
1671861131663194467,3,27
1671861131665043715,3,27
1671861131666780169,3,27
1671861131668512826,3,27
1671861131670262725,3,27
1671861131672046128,3,27
1671861131673879125,3,27
1671861131675617683,3,27
1671861131677393933,3,27
1671861131679368308,3,27
1671861131681641059,3,27
1671861131683770088,3,27
1671861131685587055,3,27
1671861131687348406,3,27
1671861131689089910,3,27
1671861131690822546,3,27
1671861131692558039,3,27
1671861131694299252,3,27
1671861131696037399,3,27
1671861131697771439,3,27
1671861131699991231,3,27
1671861131702349014,3,27
1671861131704466120,3,27
1671861131706272056,3,27
1671861131708044828,3,27
1671861131709772917,3,27
1671861131711592659,3,27
1671861131713350002,3,27
1671861131715182268,3,27
1671861131716933510,3,27
1671861131718788850,3,27
1671861131722270154,3,27
1671861131725032063,3,27
1671861131727209593,3,27
1671861131729376845,3,27
1671861131731278933,3,27
1671861131733032089,3,27
1671861131734769575,3,27
1671861131736509345,3,27
1671861131738267199,3,27
1671861131740996307,3,27
1671861131743398523,3,27
1671861131745551578,3,27
1671861131748341821,3,27
1671861131755875432,3,27
1671861131761976706,3,27
1671861131764567320,3,27
1671861131766822228,3,27
1671861131769010659,3,27
1671861131770941712,3,27
1671861131772683316,3,27
1671861131774471378,3,27
1671861131776196310,3,27
1671861131777933866,3,27
1671861131780054028,3,27
1671861131782279339,3,27
1671861131784138085,3,27
1671861131785857878,3,27
1671861131787584073,3,27
1671861131789311751,3,27
1671861131791039048,3,27
1671861131792774009,3,27
1671861131794514371,3,27
