timestamp,device_0,device_1
1671786929287488640,2,38
1671786929290259519,2,38
1671786929292747772,2,38
1671786929294526047,2,38
1671786929296267652,2,38
1671786929298385301,2,38
1671786929300636033,2,38
1671786929302523084,2,38
1671786929304263237,2,38
1671786929306004501,2,38
1671786929307742700,2,38
1671786929309491670,2,38
1671786929311275485,2,38
1671786929313134283,2,38
1671786929314886999,2,38
1671786929316739565,2,37
1671786929320698469,2,37
1671786929323294205,2,37
1671786929325518456,2,37
1671786929327636727,2,37
1671786929330542501,2,37
1671786929332498744,2,37
1671786929334247393,2,37
1671786929335994138,2,37
1671786929343502979,2,37
1671786929348400323,2,37
1671786929350146357,2,37
1671786929351898322,2,37
1671786929353623667,2,37
1671786929355363889,2,37
1671786929357366841,2,37
1671786929359413074,2,37
1671786929361627217,2,37
1671786929363624308,2,37
1671786929365356716,4,37
1671786929367185737,4,37
1671786929369117173,4,37
1671786929371164118,4,37
1671786929373294982,4,37
1671786929375416468,4,37
1671786929377571168,4,37
1671786929379694658,4,37
1671786929381517838,4,37
1671786929383247741,4,37
1671786929385035484,4,37
1671786929387531651,4,37
1671786929389693695,4,37
1671786929391727204,4,37
1671786929393734995,4,37
1671786929395470378,4,37
1671786929397475604,4,37
1671786929399612940,4,37
1671786929401479433,4,37
1671786929403298014,4,37
1671786929405033257,4,37
1671786929406794009,4,37
1671786929408562185,4,37
1671786929410361460,4,37
1671786929412112082,4,37
1671786929413847405,4,37
1671786929415989882,4,37
1671786929418186480,4,37
1671786929420250838,4,37
1671786929422369399,4,37
1671786929424229049,4,37
1671786929425963320,4,37
1671786929427702451,4,37
1671786929429455678,4,37
1671786929431217872,4,37
1671786929432953096,4,37
1671786929434707906,4,37
1671786929436474819,4,37
1671786929438805323,4,37
1671786929441483387,4,37
1671786929443628147,4,37
1671786929445841017,4,37
1671786929447593643,4,37
1671786929449333946,4,37
1671786929451132199,4,37
1671786929452880217,4,37
1671786929454675384,4,37
1671786929456453929,4,37
1671786929458608568,4,37
1671786929460758338,4,37
1671786929462655519,4,37
1671786929464452600,4,37
1671786929466694154,4,37
1671786929468657199,4,37
1671786929470492953,4,37
1671786929472564765,4,37
1671786929475044231,4,37
1671786929477531191,4,37
1671786929484396531,4,37
1671786929489315887,4,37
1671786929491439187,4,37
1671786929493563058,4,37
1671786929495662522,4,37
1671786929497926809,4,37
1671786929500137766,4,37
1671786929502101793,4,37
1671786929503825064,4,37
1671786929505564104,4,37
1671786929507328723,4,37
1671786929509363916,4,37
1671786929511530057,4,37
1671786929513737006,4,37
1671786929515903919,4,37
1671786929518234012,4,25
1671786929523172034,4,25
1671786929524916264,4,25
1671786929526645215,4,25
1671786929528368876,4,25
1671786929530099271,4,25
1671786929531814055,4,25
1671786929533531935,4,25
1671786929535269373,4,25
1671786929537246144,4,25
1671786929539867049,4,25
1671786929542008723,4,25
1671786929544164865,4,25
1671786929546057447,4,25
1671786929547783012,4,25
1671786929549926270,4,25
1671786929552029682,4,25
1671786929554139175,4,25
1671786929555978095,4,25
1671786929558093430,4,25
1671786929560247899,4,25
1671786929562102288,4,25
1671786929563907264,2,25
1671786929567175236,2,25
1671786929568986313,2,25
1671786929570783224,2,25
1671786929572504140,2,25
1671786929574224665,2,25
1671786929575947114,2,25
1671786929578157209,2,25
1671786929580258907,2,25
1671786929582115200,2,25
1671786929583859831,2,25
1671786929585966260,2,25
1671786929588732962,2,25
1671786929590858095,2,25
1671786929593012273,2,25
1671786929594892041,2,25
1671786929596639006,2,25
1671786929598794257,2,25
1671786929600846361,2,25
1671786929602655124,2,25
1671786929604400547,2,25
