timestamp,device_0,device_1
1671786843747080552,3,44
1671786843752738084,3,44
1671786843754518399,3,44
1671786843756256865,3,44
1671786843758227620,3,44
1671786843759983217,3,44
1671786843761717584,3,44
1671786843763508840,3,44
1671786843765959765,3,44
1671786843768796411,3,44
1671786843770998445,3,44
1671786843773019406,3,44
1671786843776721542,3,44
1671786843779148272,3,44
1671786843781832250,3,44
1671786843783645887,3,44
1671786843791705694,4,44
1671786843797036869,4,44
1671786843798770805,4,44
1671786843800492708,4,44
1671786843802216395,4,44
1671786843804293353,4,44
1671786843806484936,4,44
1671786843808343098,4,44
1671786843810089478,4,44
1671786843811817434,4,44
1671786843813555548,4,44
1671786843815296337,4,44
1671786843817020014,4,44
1671786843818748029,4,44
1671786843820562349,4,44
1671786843822301906,4,44
1671786843824314300,4,44
1671786843826525691,4,44
1671786843828915481,4,44
1671786843831155316,4,44
1671786843833369994,4,44
1671786843835279894,4,44
1671786843837038528,4,44
1671786843838808612,4,44
1671786843840590650,4,44
1671786843842407874,4,44
1671786843844411532,4,44
1671786843847092674,4,44
1671786843849341005,4,44
1671786843851223373,4,44
1671786843852957270,4,44
1671786843854778742,4,44
1671786843856559216,4,44
1671786843858332868,4,44
1671786843860087023,4,44
1671786843861832893,4,44
1671786843863624257,4,44
1671786843866242470,4,44
1671786843869152897,4,44
1671786843871425474,4,44
1671786843873177104,4,44
1671786843874917623,4,44
1671786843876679513,4,44
1671786843878447474,4,44
1671786843880194294,4,44
1671786843881957045,4,44
1671786843883734915,4,44
1671786843885987134,4,44
1671786843888192834,4,44
1671786843890168429,4,44
1671786843892969479,4,44
1671786843894700940,4,44
1671786843896431790,4,44
1671786843898162751,4,44
1671786843899892701,4,44
1671786843901665641,4,44
1671786843903484889,4,44
1671786843905660713,4,44
1671786843907742860,4,44
1671786843909499079,4,44
1671786843911251530,4,44
1671786843913033297,4,44
1671786843914772694,4,44
1671786843916690590,4,44
1671786843919000928,4,44
1671786843921748786,4,44
1671786843924658402,4,44
1671786843927354842,4,44
1671786843934623720,4,44
1671786843940025959,4,44
1671786843942519545,4,44
1671786843945038108,4,25
1671786843949557205,4,25
1671786843951296581,4,25
1671786843953023344,4,25
1671786843954758272,4,25
1671786843956483503,4,25
1671786843958208282,4,25
1671786843959928983,4,25
1671786843961650225,4,25
1671786843963463663,4,25
1671786843965821883,4,25
1671786843968858758,4,25
1671786843971092482,4,25
1671786843972886102,4,25
1671786843974609739,4,25
1671786843976385404,4,25
1671786843978113109,4,25
1671786843979843860,4,25
1671786843981585020,4,25
1671786843983507804,4,25
1671786843985661105,4,25
1671786843988238260,4,25
1671786843990497893,2,25
1671786843995837925,2,25
1671786843997611066,2,25
1671786843999354019,2,25
1671786844001041637,2,25
1671786844002781485,2,25
1671786844004931471,2,25
1671786844007077147,2,25
1671786844008958883,2,25
1671786844010710814,2,25
1671786844012521417,2,25
1671786844014264701,2,25
1671786844016011822,2,25
1671786844017794551,2,25
1671786844019627295,2,25
1671786844021429952,2,25
1671786844023282432,2,25
1671786844025416988,2,25
1671786844027635774,2,25
1671786844029487514,2,25
1671786844031232611,2,25
1671786844032977258,2,25
1671786844034751461,2,25
1671786844036524081,2,25
1671786844038291120,2,25
1671786844040063499,2,25
1671786844041816311,2,25
1671786844043723176,2,25
1671786844047221206,2,25
1671786844049247156,2,25
1671786844051008574,2,25
1671786844052757319,2,25
1671786844054497688,2,25
1671786844056315783,2,25
1671786844058088524,2,25
1671786844059831728,2,25
1671786844061579581,2,25
1671786844065389051,2,25
1671786844067527805,2,25
1671786844069802316,2,25
1671786844072290762,2,25
1671786844089347131,2,25
1671786844091231413,2,25
1671786844092973325,2,25
1671786844094704125,2,25
1671786844096436298,2,25
1671786844098170665,2,25
1671786844099892359,2,25
1671786844101634030,2,25
1671786844103402882,2,25
1671786844105535434,2,25
1671786844107727710,2,25
1671786844110132969,2,25
1671786844112261162,2,25
1671786844114381471,2,25
1671786844116295870,2,25
1671786844118228353,2,25
1671786844119975955,2,25
1671786844121702787,2,25
1671786844123476981,2,25
1671786844125677221,2,25
1671786844127763315,2,25
1671786844129565320,2,25
1671786844131286202,2,25
1671786844133024427,2,25
1671786844134758764,2,25
1671786844136481870,2,25
1671786844138210386,2,25
1671786844139933242,2,25
1671786844141661408,2,25
1671786844143672739,2,25
1671786844149289115,2,25
1671786844151047387,2,25
1671786844152798025,2,25
1671786844154554945,2,25
1671786844156429569,2,25
1671786844158188463,2,25
1671786844159932528,2,25
1671786844161692844,2,25
1671786844163460696,2,25
1671786844165921330,2,25
1671786844168609364,2,25
1671786844170831075,2,25
1671786844172856454,2,25
1671786844174581584,2,25
1671786844176339385,2,25
1671786844178082259,2,25
1671786844179826265,2,25
1671786844181587273,2,25
1671786844183362848,2,25
1671786844185505789,2,25
1671786844187863378,2,25
1671786844189797685,2,25
1671786844191538414,3,25
1671786844193387999,3,25
1671786844195780154,3,25
1671786844197533667,3,25
1671786844199281851,3,25
1671786844201014985,3,25
1671786844202753571,3,25
1671786844204903516,3,25
1671786844207109106,3,25
1671786844209015970,3,25
1671786844210751139,3,25
1671786844212497269,3,25
1671786844214269378,3,25
1671786844217010823,3,25
1671786844218784355,3,25
1671786844220672254,3,25
1671786844222436578,3,25
1671786844229717168,3,25
1671786844234652602,3,25
1671786844236386509,3,25
1671786844238799923,3,25
1671786844241108688,3,25
1671786844243687507,3,25
